dataset;method;model;Precision;Recall;F1-Score;G mean;Balanced Accuracy
Obesity_onevsrest_0;SMOTECDNN;Logistic Regression;0.8;1.0;0.89;0.98;0.98
Obesity_onevsrest_1;SMOTECDNN;KNN;0.72;0.8;0.76;0.87;0.88
Obesity_onevsrest_1;SMOTECDNN;Random Forest;0.79;0.96;0.87;0.96;0.96
Obesity_onevsrest_1;SMOTECDNN;Decision Tree;0.86;0.85;0.85;0.91;0.91
Obesity_onevsrest_1;SMOTECDNN;XGBoost;0.89;0.96;0.93;0.97;0.97
Obesity_onevsrest_1;SMOTECDNN;AdaBoost;0.41;0.92;0.57;0.85;0.85
Obesity_onevsrest_1;SMOTECDNN;Gradient Boosting;0.96;0.94;0.95;0.97;0.97
Obesity_onevsrest_1;SMOTECDNN;Extra Trees;0.77;0.93;0.84;0.94;0.94
Obesity_onevsrest_1;SMOTECDNN;Neural Network (MLP);0.61;0.87;0.72;0.89;0.89
Obesity_onevsrest_1;SMOTECDNN;Logistic Regression;0.38;0.87;0.53;0.82;0.82
Obesity_onevsrest_2;SMOTECDNN;KNN;0.7;0.96;0.81;0.95;0.95
Obesity_onevsrest_2;SMOTECDNN;Random Forest;0.88;0.84;0.86;0.91;0.91
Obesity_onevsrest_2;SMOTECDNN;Decision Tree;0.7;0.81;0.75;0.87;0.88
Obesity_onevsrest_2;SMOTECDNN;XGBoost;0.85;0.93;0.89;0.95;0.95
Obesity_onevsrest_2;SMOTECDNN;AdaBoost;0.56;0.87;0.68;0.88;0.88
Obesity_onevsrest_2;SMOTECDNN;Gradient Boosting;0.84;0.89;0.87;0.93;0.93
Obesity_onevsrest_2;SMOTECDNN;Extra Trees;0.9;0.76;0.82;0.87;0.87
Obesity_onevsrest_2;SMOTECDNN;Neural Network (MLP);0.78;0.89;0.83;0.93;0.93
Obesity_onevsrest_2;SMOTECDNN;Logistic Regression;0.3;0.69;0.42;0.72;0.72
Obesity_onevsrest_3;SMOTECDNN;KNN;0.73;0.97;0.83;0.95;0.95
Obesity_onevsrest_3;SMOTECDNN;Random Forest;0.85;0.94;0.89;0.96;0.96
Obesity_onevsrest_3;SMOTECDNN;Decision Tree;0.85;0.95;0.9;0.96;0.96
Obesity_onevsrest_3;SMOTECDNN;XGBoost;0.92;1.0;0.96;0.99;0.99
Obesity_onevsrest_3;SMOTECDNN;AdaBoost;0.51;0.91;0.66;0.88;0.88
Obesity_onevsrest_3;SMOTECDNN;Gradient Boosting;0.91;0.99;0.95;0.99;0.99
Obesity_onevsrest_3;SMOTECDNN;Extra Trees;0.91;0.92;0.91;0.95;0.95
Obesity_onevsrest_3;SMOTECDNN;Neural Network (MLP);0.83;0.84;0.83;0.9;0.91
Obesity_onevsrest_3;SMOTECDNN;Logistic Regression;0.35;0.85;0.49;0.79;0.8
Obesity_onevsrest_4;SMOTECDNN;KNN;0.91;0.98;0.94;0.98;0.98
Obesity_onevsrest_4;SMOTECDNN;Random Forest;0.99;0.96;0.98;0.98;0.98
Obesity_onevsrest_4;SMOTECDNN;Decision Tree;0.92;0.92;0.92;0.95;0.95
Obesity_onevsrest_4;SMOTECDNN;XGBoost;0.98;0.98;0.98;0.99;0.99
Obesity_onevsrest_4;SMOTECDNN;AdaBoost;0.61;0.87;0.72;0.88;0.88
Obesity_onevsrest_4;SMOTECDNN;Gradient Boosting;0.98;0.94;0.96;0.97;0.97
Obesity_onevsrest_4;SMOTECDNN;Extra Trees;0.98;0.92;0.95;0.96;0.96
Obesity_onevsrest_4;SMOTECDNN;Neural Network (MLP);0.79;0.91;0.85;0.93;0.93
Obesity_onevsrest_4;SMOTECDNN;Logistic Regression;0.36;0.72;0.48;0.73;0.73
Obesity_onevsrest_5;SMOTECDNN;KNN;0.97;0.98;0.97;0.99;0.99
Obesity_onevsrest_5;SMOTECDNN;Random Forest;1.0;0.98;0.99;0.99;0.99
Obesity_onevsrest_5;SMOTECDNN;Decision Tree;0.99;0.97;0.98;0.98;0.98
Obesity_onevsrest_5;SMOTECDNN;XGBoost;1.0;1.0;1.0;1.0;1.0
Obesity_onevsrest_5;SMOTECDNN;AdaBoost;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_5;SMOTECDNN;Gradient Boosting;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_5;SMOTECDNN;Extra Trees;0.98;0.98;0.98;0.99;0.99
Obesity_onevsrest_5;SMOTECDNN;Neural Network (MLP);0.97;0.98;0.97;0.99;0.99
Obesity_onevsrest_5;SMOTECDNN;Logistic Regression;0.87;0.96;0.91;0.97;0.97
Obesity_onevsrest_6;SMOTECDNN;KNN;0.88;1.0;0.94;0.99;0.99
Obesity_onevsrest_6;SMOTECDNN;Random Forest;1.0;0.99;0.99;0.99;0.99
Obesity_onevsrest_6;SMOTECDNN;Decision Tree;0.98;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;SMOTECDNN;XGBoost;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;SMOTECDNN;AdaBoost;0.92;1.0;0.96;0.99;0.99
Obesity_onevsrest_6;SMOTECDNN;Gradient Boosting;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;SMOTECDNN;Extra Trees;1.0;0.99;0.99;0.99;0.99
Obesity_onevsrest_6;SMOTECDNN;Neural Network (MLP);0.97;1.0;0.98;1.0;1.0
Obesity_onevsrest_6;SMOTECDNN;Logistic Regression;0.94;1.0;0.97;0.99;0.99
page-blocks-1-3_vs_4;SMOTECDNN;KNN;0.42;1.0;0.59;0.96;0.96
page-blocks-1-3_vs_4;SMOTECDNN;Random Forest;0.73;1.0;0.84;0.99;0.99
page-blocks-1-3_vs_4;SMOTECDNN;Decision Tree;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;SMOTECDNN;XGBoost;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;SMOTECDNN;AdaBoost;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;SMOTECDNN;Gradient Boosting;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;SMOTECDNN;Extra Trees;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;SMOTECDNN;Neural Network (MLP);0.57;1.0;0.73;0.98;0.98
page-blocks-1-3_vs_4;SMOTECDNN;Logistic Regression;0.44;1.0;0.62;0.96;0.96
pima;SMOTECDNN;KNN;0.58;0.74;0.65;0.73;0.73
pima;SMOTECDNN;Random Forest;0.63;0.78;0.7;0.77;0.77
pima;SMOTECDNN;Decision Tree;0.59;0.71;0.65;0.73;0.73
pima;SMOTECDNN;XGBoost;0.64;0.74;0.69;0.76;0.76
pima;SMOTECDNN;AdaBoost;0.61;0.75;0.67;0.75;0.75
pima;SMOTECDNN;Gradient Boosting;0.62;0.72;0.67;0.75;0.75
pima;SMOTECDNN;Extra Trees;0.65;0.78;0.7;0.77;0.77
pima;SMOTECDNN;Neural Network (MLP);0.53;0.59;0.56;0.65;0.66
pima;SMOTECDNN;Logistic Regression;0.58;0.78;0.67;0.74;0.74
transfusion;SMOTECDNN;KNN;0.29;0.47;0.36;0.55;0.56
transfusion;SMOTECDNN;Random Forest;0.34;0.62;0.44;0.63;0.63
transfusion;SMOTECDNN;Decision Tree;0.33;0.53;0.41;0.59;0.6
transfusion;SMOTECDNN;XGBoost;0.32;0.58;0.41;0.6;0.6
transfusion;SMOTECDNN;AdaBoost;0.39;0.68;0.49;0.67;0.67
transfusion;SMOTECDNN;Gradient Boosting;0.32;0.58;0.41;0.6;0.6
transfusion;SMOTECDNN;Extra Trees;0.31;0.53;0.39;0.58;0.58
transfusion;SMOTECDNN;Neural Network (MLP);0.39;0.74;0.51;0.69;0.69
transfusion;SMOTECDNN;Logistic Regression;0.41;0.74;0.53;0.71;0.71
vowel0;SMOTECDNN;KNN;0.9;1.0;0.95;0.99;0.99
vowel0;SMOTECDNN;Random Forest;1.0;1.0;1.0;1.0;1.0
vowel0;SMOTECDNN;Decision Tree;0.93;1.0;0.96;1.0;1.0
vowel0;SMOTECDNN;XGBoost;0.87;1.0;0.93;0.99;0.99
vowel0;SMOTECDNN;AdaBoost;0.96;1.0;0.98;1.0;1.0
vowel0;SMOTECDNN;Gradient Boosting;0.96;1.0;0.98;1.0;1.0
vowel0;SMOTECDNN;Extra Trees;0.93;1.0;0.96;1.0;1.0
vowel0;SMOTECDNN;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
vowel0;SMOTECDNN;Logistic Regression;0.66;0.93;0.77;0.94;0.94
yeast1;SMOTECDNN;KNN;0.46;0.76;0.58;0.7;0.7
yeast1;SMOTECDNN;Random Forest;0.5;0.67;0.57;0.7;0.7
yeast1;SMOTECDNN;Decision Tree;0.48;0.68;0.56;0.69;0.69
yeast1;SMOTECDNN;XGBoost;0.49;0.71;0.58;0.7;0.7
yeast1;SMOTECDNN;AdaBoost;0.49;0.76;0.6;0.72;0.72
yeast1;SMOTECDNN;Gradient Boosting;0.49;0.67;0.56;0.69;0.69
yeast1;SMOTECDNN;Extra Trees;0.49;0.7;0.57;0.7;0.7
yeast1;SMOTECDNN;Neural Network (MLP);0.52;0.71;0.6;0.72;0.72
yeast1;SMOTECDNN;Logistic Regression;0.39;0.9;0.55;0.63;0.67
yeast3;SMOTECDNN;KNN;0.6;0.86;0.71;0.89;0.89
yeast3;SMOTECDNN;Random Forest;0.69;0.9;0.78;0.92;0.92
yeast3;SMOTECDNN;Decision Tree;0.68;0.94;0.79;0.94;0.94
yeast3;SMOTECDNN;XGBoost;0.67;0.86;0.75;0.9;0.9
yeast3;SMOTECDNN;AdaBoost;0.69;0.94;0.79;0.94;0.94
yeast3;SMOTECDNN;Gradient Boosting;0.76;0.92;0.83;0.94;0.94
yeast3;SMOTECDNN;Extra Trees;0.7;0.88;0.78;0.92;0.92
yeast3;SMOTECDNN;Neural Network (MLP);0.62;0.92;0.74;0.92;0.92
yeast3;SMOTECDNN;Logistic Regression;0.5;0.96;0.66;0.92;0.92
abalone9-18;2;KNN;0.33;0.92;0.49;0.9;0.9
abalone9-18;2;Random Forest;0.29;0.85;0.43;0.86;0.86
abalone9-18;2;Decision Tree;0.23;0.77;0.35;0.8;0.8
abalone9-18;2;XGBoost;0.35;0.69;0.46;0.8;0.8
abalone9-18;2;AdaBoost;0.23;0.77;0.35;0.8;0.8
abalone9-18;2;Gradient Boosting;0.37;0.77;0.5;0.84;0.84
abalone9-18;2;Extra Trees;0.32;0.85;0.47;0.87;0.87
abalone9-18;2;Neural Network (MLP);0.3;0.92;0.45;0.89;0.89
abalone9-18;2;Logistic Regression;0.29;0.77;0.42;0.82;0.82
cleveland-0_vs_4;2;KNN;0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;2;Random Forest;1.0;0.5;0.67;0.71;0.75
cleveland-0_vs_4;2;Decision Tree;0.5;0.5;0.5;0.69;0.73
cleveland-0_vs_4;2;XGBoost;0.5;0.25;0.33;0.49;0.61
cleveland-0_vs_4;2;AdaBoost;0.67;0.5;0.57;0.7;0.74
cleveland-0_vs_4;2;Gradient Boosting;1.0;0.75;0.86;0.87;0.88
cleveland-0_vs_4;2;Extra Trees;1.0;0.5;0.67;0.71;0.75
cleveland-0_vs_4;2;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;2;Logistic Regression;0.75;0.75;0.75;0.86;0.86
dermatology-6;2;KNN;1.0;1.0;1.0;1.0;1.0
dermatology-6;2;Random Forest;1.0;1.0;1.0;1.0;1.0
dermatology-6;2;Decision Tree;1.0;1.0;1.0;1.0;1.0
dermatology-6;2;XGBoost;1.0;1.0;1.0;1.0;1.0
dermatology-6;2;AdaBoost;1.0;1.0;1.0;1.0;1.0
dermatology-6;2;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
dermatology-6;2;Extra Trees;1.0;1.0;1.0;1.0;1.0
dermatology-6;2;Neural Network (MLP);0.86;1.0;0.92;1.0;1.0
dermatology-6;2;Logistic Regression;1.0;1.0;1.0;1.0;1.0
ecoli-0_vs_1;2;KNN;1.0;0.91;0.95;0.96;0.96
ecoli-0_vs_1;2;Random Forest;1.0;0.96;0.98;0.98;0.98
ecoli-0_vs_1;2;Decision Tree;0.96;0.96;0.96;0.97;0.97
ecoli-0_vs_1;2;XGBoost;1.0;0.96;0.98;0.98;0.98
ecoli-0_vs_1;2;AdaBoost;1.0;0.96;0.98;0.98;0.98
ecoli-0_vs_1;2;Gradient Boosting;1.0;0.96;0.98;0.98;0.98
ecoli-0_vs_1;2;Extra Trees;1.0;0.91;0.95;0.96;0.96
ecoli-0_vs_1;2;Neural Network (MLP);0.96;0.96;0.96;0.97;0.97
ecoli-0_vs_1;2;Logistic Regression;1.0;0.96;0.98;0.98;0.98
ecoli1;2;KNN;0.8;0.87;0.83;0.9;0.9
ecoli1;2;Random Forest;0.75;0.78;0.77;0.85;0.85
ecoli1;2;Decision Tree;0.78;0.78;0.78;0.86;0.86
ecoli1;2;XGBoost;0.83;0.83;0.83;0.89;0.89
ecoli1;2;AdaBoost;0.55;0.96;0.7;0.86;0.86
ecoli1;2;Gradient Boosting;0.75;0.78;0.77;0.85;0.85
ecoli1;2;Extra Trees;0.73;0.96;0.83;0.93;0.93
ecoli1;2;Neural Network (MLP);0.69;0.78;0.73;0.84;0.84
ecoli1;2;Logistic Regression;0.61;0.83;0.7;0.84;0.84
iris0;2;KNN;1.0;1.0;1.0;1.0;1.0
iris0;2;Random Forest;1.0;1.0;1.0;1.0;1.0
iris0;2;Decision Tree;1.0;1.0;1.0;1.0;1.0
iris0;2;XGBoost;0.94;1.0;0.97;0.98;0.98
iris0;2;AdaBoost;1.0;1.0;1.0;1.0;1.0
iris0;2;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
iris0;2;Extra Trees;1.0;1.0;1.0;1.0;1.0
iris0;2;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
iris0;2;Logistic Regression;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;2;KNN;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;2;Random Forest;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;2;Decision Tree;0.8;1.0;0.89;1.0;1.0
kddcup-guess_passwd_vs_satan;2;XGBoost;0.8;1.0;0.89;1.0;1.0
kddcup-guess_passwd_vs_satan;2;AdaBoost;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;2;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;2;Extra Trees;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;2;Neural Network (MLP);0.94;1.0;0.97;1.0;1.0
kddcup-guess_passwd_vs_satan;2;Logistic Regression;0.94;1.0;0.97;1.0;1.0
Migraine_onevsrest_0;2;KNN;0.74;0.49;0.59;0.66;0.7
Migraine_onevsrest_0;2;Random Forest;0.92;0.88;0.9;0.92;0.92
Migraine_onevsrest_0;2;Decision Tree;0.94;0.83;0.88;0.9;0.9
Migraine_onevsrest_0;2;XGBoost;0.87;0.83;0.85;0.88;0.88
Migraine_onevsrest_0;2;AdaBoost;0.89;0.78;0.83;0.86;0.86
Migraine_onevsrest_0;2;Gradient Boosting;0.97;0.83;0.89;0.9;0.91
Migraine_onevsrest_0;2;Extra Trees;0.95;0.88;0.91;0.92;0.93
Migraine_onevsrest_0;2;Neural Network (MLP);0.36;0.95;0.52;0.23;0.5
Migraine_onevsrest_0;2;Logistic Regression;0.36;1.0;0.53;0.0;0.5
Migraine_onevsrest_1;2;KNN;0.93;0.72;0.81;0.85;0.86
Migraine_onevsrest_1;2;Random Forest;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_1;2;Decision Tree;0.95;1.0;0.97;0.99;0.99
Migraine_onevsrest_1;2;XGBoost;0.9;1.0;0.95;0.99;0.99
Migraine_onevsrest_1;2;AdaBoost;0.78;1.0;0.88;0.97;0.97
Migraine_onevsrest_1;2;Gradient Boosting;0.95;1.0;0.97;0.99;0.99
Migraine_onevsrest_1;2;Extra Trees;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_1;2;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_1;2;Logistic Regression;0.95;1.0;0.97;0.99;0.99
Migraine_onevsrest_2;2;KNN;0.55;0.86;0.67;0.9;0.91
Migraine_onevsrest_2;2;Random Forest;0.64;1.0;0.78;0.98;0.98
Migraine_onevsrest_2;2;Decision Tree;0.44;1.0;0.61;0.96;0.96
Migraine_onevsrest_2;2;XGBoost;0.75;0.86;0.8;0.92;0.92
Migraine_onevsrest_2;2;AdaBoost;0.5;0.86;0.63;0.9;0.9
Migraine_onevsrest_2;2;Gradient Boosting;0.75;0.86;0.8;0.92;0.92
Migraine_onevsrest_2;2;Extra Trees;0.71;0.71;0.71;0.84;0.85
Migraine_onevsrest_2;2;Neural Network (MLP);0.5;0.43;0.46;0.65;0.7
Migraine_onevsrest_2;2;Logistic Regression;0.15;1.0;0.26;0.79;0.81
Migraine_onevsrest_3;2;KNN;1.0;0.83;0.91;0.91;0.92
Migraine_onevsrest_3;2;Random Forest;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;2;Decision Tree;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;2;XGBoost;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;2;AdaBoost;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;2;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;2;Extra Trees;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;2;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;2;Logistic Regression;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_4;2;KNN;0.75;0.6;0.67;0.77;0.8
Migraine_onevsrest_4;2;Random Forest;0.83;1.0;0.91;1.0;1.0
Migraine_onevsrest_4;2;Decision Tree;0.5;0.8;0.62;0.88;0.88
Migraine_onevsrest_4;2;XGBoost;0.5;0.8;0.62;0.88;0.88
Migraine_onevsrest_4;2;AdaBoost;0.71;1.0;0.83;0.99;0.99
Migraine_onevsrest_4;2;Gradient Boosting;0.43;0.6;0.5;0.76;0.78
Migraine_onevsrest_4;2;Extra Trees;0.83;1.0;0.91;1.0;1.0
Migraine_onevsrest_4;2;Neural Network (MLP);0.8;0.8;0.8;0.89;0.9
Migraine_onevsrest_4;2;Logistic Regression;0.83;1.0;0.91;1.0;1.0
Migraine_onevsrest_5;2;KNN;0.44;1.0;0.62;0.98;0.98
Migraine_onevsrest_5;2;Random Forest;0.57;1.0;0.73;0.99;0.99
Migraine_onevsrest_5;2;Decision Tree;0.5;1.0;0.67;0.98;0.98
Migraine_onevsrest_5;2;XGBoost;0.5;1.0;0.67;0.98;0.98
Migraine_onevsrest_5;2;AdaBoost;0.5;1.0;0.67;0.98;0.98
Migraine_onevsrest_5;2;Gradient Boosting;0.4;1.0;0.57;0.97;0.97
Migraine_onevsrest_5;2;Extra Trees;0.4;1.0;0.57;0.97;0.97
Migraine_onevsrest_5;2;Neural Network (MLP);0.33;1.0;0.5;0.96;0.96
Migraine_onevsrest_5;2;Logistic Regression;0.5;1.0;0.67;0.98;0.98
new-thyroid1;2;KNN;1.0;0.82;0.9;0.9;0.91
new-thyroid1;2;Random Forest;1.0;1.0;1.0;1.0;1.0
new-thyroid1;2;Decision Tree;0.92;1.0;0.96;0.99;0.99
new-thyroid1;2;XGBoost;1.0;1.0;1.0;1.0;1.0
new-thyroid1;2;AdaBoost;1.0;1.0;1.0;1.0;1.0
new-thyroid1;2;Gradient Boosting;0.92;1.0;0.96;0.99;0.99
new-thyroid1;2;Extra Trees;1.0;1.0;1.0;1.0;1.0
new-thyroid1;2;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
new-thyroid1;2;Logistic Regression;0.69;1.0;0.81;0.95;0.95
newthyroid2;2;KNN;1.0;0.82;0.9;0.9;0.91
newthyroid2;2;Random Forest;1.0;0.82;0.9;0.9;0.91
newthyroid2;2;Decision Tree;0.9;0.82;0.86;0.9;0.9
newthyroid2;2;XGBoost;1.0;0.82;0.9;0.9;0.91
newthyroid2;2;AdaBoost;1.0;0.91;0.95;0.95;0.95
newthyroid2;2;Gradient Boosting;1.0;0.82;0.9;0.9;0.91
newthyroid2;2;Extra Trees;1.0;0.91;0.95;0.95;0.95
newthyroid2;2;Neural Network (MLP);1.0;0.73;0.84;0.85;0.86
newthyroid2;2;Logistic Regression;0.65;1.0;0.79;0.94;0.94
Obesity_onevsrest_0;2;KNN;0.75;1.0;0.86;0.98;0.98
Obesity_onevsrest_0;2;Random Forest;0.95;0.95;0.95;0.97;0.97
Obesity_onevsrest_0;2;Decision Tree;0.95;0.99;0.97;0.99;0.99
Obesity_onevsrest_0;2;XGBoost;0.98;1.0;0.99;1.0;1.0
Obesity_onevsrest_0;2;AdaBoost;0.84;1.0;0.91;0.99;0.99
Obesity_onevsrest_0;2;Gradient Boosting;0.94;0.97;0.96;0.98;0.98
Obesity_onevsrest_0;2;Extra Trees;0.99;0.89;0.93;0.94;0.94
Obesity_onevsrest_0;2;Neural Network (MLP);0.78;0.97;0.87;0.97;0.97
Obesity_onevsrest_0;2;Logistic Regression;0.13;1.0;0.23;0.0;0.5
Obesity_onevsrest_1;2;KNN;0.95;0.69;0.8;0.83;0.84
Obesity_onevsrest_1;2;Random Forest;0.92;0.79;0.85;0.88;0.89
Obesity_onevsrest_1;2;Decision Tree;0.88;0.86;0.87;0.92;0.92
Obesity_onevsrest_1;2;XGBoost;0.94;0.93;0.93;0.96;0.96
Obesity_onevsrest_1;2;AdaBoost;0.68;0.59;0.63;0.75;0.77
Obesity_onevsrest_1;2;Gradient Boosting;0.98;0.93;0.95;0.96;0.96
Obesity_onevsrest_1;2;Extra Trees;0.85;0.78;0.81;0.87;0.88
Obesity_onevsrest_1;2;Neural Network (MLP);0.85;0.6;0.7;0.77;0.79
Obesity_onevsrest_1;2;Logistic Regression;0.33;0.56;0.42;0.68;0.69
Obesity_onevsrest_2;2;KNN;0.81;0.9;0.85;0.93;0.94
Obesity_onevsrest_2;2;Random Forest;1.0;0.78;0.88;0.88;0.89
Obesity_onevsrest_2;2;Decision Tree;0.85;0.84;0.85;0.91;0.91
Obesity_onevsrest_2;2;XGBoost;0.97;0.89;0.93;0.94;0.94
Obesity_onevsrest_2;2;AdaBoost;0.64;0.57;0.6;0.73;0.76
Obesity_onevsrest_2;2;Gradient Boosting;1.0;0.9;0.95;0.95;0.95
Obesity_onevsrest_2;2;Extra Trees;0.98;0.75;0.85;0.86;0.87
Obesity_onevsrest_2;2;Neural Network (MLP);0.85;0.64;0.73;0.79;0.81
Obesity_onevsrest_2;2;Logistic Regression;0.13;1.0;0.23;0.0;0.5
Obesity_onevsrest_3;2;KNN;0.91;0.86;0.89;0.92;0.92
Obesity_onevsrest_3;2;Random Forest;0.99;0.87;0.93;0.93;0.94
Obesity_onevsrest_3;2;Decision Tree;0.91;0.83;0.87;0.9;0.91
Obesity_onevsrest_3;2;XGBoost;0.99;0.99;0.99;0.99;0.99
Obesity_onevsrest_3;2;AdaBoost;0.77;0.51;0.61;0.7;0.74
Obesity_onevsrest_3;2;Gradient Boosting;0.99;0.98;0.98;0.99;0.99
Obesity_onevsrest_3;2;Extra Trees;0.98;0.92;0.95;0.96;0.96
Obesity_onevsrest_3;2;Neural Network (MLP);0.87;0.83;0.85;0.9;0.9
Obesity_onevsrest_3;2;Logistic Regression;0.26;0.45;0.33;0.6;0.62
Obesity_onevsrest_4;2;KNN;0.97;0.97;0.97;0.98;0.98
Obesity_onevsrest_4;2;Random Forest;0.99;0.95;0.97;0.97;0.98
Obesity_onevsrest_4;2;Decision Tree;0.92;0.88;0.9;0.93;0.93
Obesity_onevsrest_4;2;XGBoost;0.98;0.91;0.95;0.95;0.96
Obesity_onevsrest_4;2;AdaBoost;0.8;0.66;0.72;0.8;0.81
Obesity_onevsrest_4;2;Gradient Boosting;1.0;0.94;0.97;0.97;0.97
Obesity_onevsrest_4;2;Extra Trees;1.0;0.88;0.93;0.94;0.94
Obesity_onevsrest_4;2;Neural Network (MLP);0.85;0.85;0.85;0.91;0.91
Obesity_onevsrest_4;2;Logistic Regression;0.17;1.0;0.29;0.0;0.5
Obesity_onevsrest_5;2;KNN;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_5;2;Random Forest;1.0;0.98;0.99;0.99;0.99
Obesity_onevsrest_5;2;Decision Tree;1.0;0.96;0.98;0.98;0.98
Obesity_onevsrest_5;2;XGBoost;1.0;0.99;0.99;0.99;0.99
Obesity_onevsrest_5;2;AdaBoost;1.0;0.98;0.99;0.99;0.99
Obesity_onevsrest_5;2;Gradient Boosting;0.99;0.99;0.99;0.99;0.99
Obesity_onevsrest_5;2;Extra Trees;1.0;0.98;0.99;0.99;0.99
Obesity_onevsrest_5;2;Neural Network (MLP);0.95;0.98;0.96;0.98;0.98
Obesity_onevsrest_5;2;Logistic Regression;0.36;0.97;0.53;0.83;0.84
Obesity_onevsrest_6;2;KNN;0.92;1.0;0.96;0.99;0.99
Obesity_onevsrest_6;2;Random Forest;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;2;Decision Tree;0.95;1.0;0.97;1.0;1.0
Obesity_onevsrest_6;2;XGBoost;0.98;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;2;AdaBoost;0.87;1.0;0.93;0.99;0.99
Obesity_onevsrest_6;2;Gradient Boosting;0.97;1.0;0.98;1.0;1.0
Obesity_onevsrest_6;2;Extra Trees;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;2;Neural Network (MLP);0.95;1.0;0.97;1.0;1.0
Obesity_onevsrest_6;2;Logistic Regression;0.96;1.0;0.98;1.0;1.0
page-blocks-1-3_vs_4;2;KNN;0.67;0.5;0.57;0.7;0.74
page-blocks-1-3_vs_4;2;Random Forest;1.0;1.0;1.0;1.0;1.0
page-blocks-1-3_vs_4;2;Decision Tree;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;2;XGBoost;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;2;AdaBoost;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;2;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
page-blocks-1-3_vs_4;2;Extra Trees;1.0;1.0;1.0;1.0;1.0
page-blocks-1-3_vs_4;2;Neural Network (MLP);0.62;1.0;0.76;0.98;0.98
page-blocks-1-3_vs_4;2;Logistic Regression;0.38;1.0;0.55;0.95;0.95
pima;2;KNN;0.67;0.56;0.61;0.69;0.71
pima;2;Random Forest;0.66;0.55;0.6;0.68;0.7
pima;2;Decision Tree;0.62;0.57;0.6;0.68;0.69
pima;2;XGBoost;0.67;0.51;0.58;0.67;0.69
pima;2;AdaBoost;0.7;0.49;0.57;0.66;0.69
pima;2;Gradient Boosting;0.68;0.59;0.63;0.71;0.72
pima;2;Extra Trees;0.63;0.51;0.57;0.66;0.68
pima;2;Neural Network (MLP);0.37;0.62;0.46;0.52;0.53
pima;2;Logistic Regression;0.35;1.0;0.51;0.0;0.5
transfusion;2;KNN;0.43;0.36;0.39;0.55;0.61
transfusion;2;Random Forest;0.43;0.36;0.39;0.55;0.61
transfusion;2;Decision Tree;0.4;0.4;0.4;0.57;0.61
transfusion;2;XGBoost;0.43;0.42;0.42;0.59;0.62
transfusion;2;AdaBoost;0.55;0.32;0.4;0.54;0.62
transfusion;2;Gradient Boosting;0.46;0.43;0.45;0.6;0.64
transfusion;2;Extra Trees;0.38;0.34;0.36;0.53;0.59
