dataset;metodo;Silhouette;Davies-Bouldin;Compactness_class_0;Compactness_class_1;KL_feature_0;KL_feature_1;KL_feature_2;KL_feature_3;KL_feature_4;KL_feature_5;KL_feature_6;KL_mean;JS_feature_0;JS_feature_1;JS_feature_2;JS_feature_3;JS_feature_4;JS_feature_5;JS_feature_6;JS_mean;Q_multi_attribute_similarity;JS_multi_attribute_mean;n_pairs_evaluated;mDCR;KL_feature_7;KL_feature_8;KL_feature_9;KL_feature_10;KL_feature_11;KL_feature_12;JS_feature_7;JS_feature_8;JS_feature_9;JS_feature_10;JS_feature_11;JS_feature_12;KL_feature_13;KL_feature_14;KL_feature_15;KL_feature_16;KL_feature_17;KL_feature_18;KL_feature_19;KL_feature_20;KL_feature_21;KL_feature_22;KL_feature_23;KL_feature_24;KL_feature_25;KL_feature_26;KL_feature_27;KL_feature_28;KL_feature_29;KL_feature_30;KL_feature_31;KL_feature_32;KL_feature_33;JS_feature_13;JS_feature_14;JS_feature_15;JS_feature_16;JS_feature_17;JS_feature_18;JS_feature_19;JS_feature_20;JS_feature_21;JS_feature_22;JS_feature_23;JS_feature_24;JS_feature_25;JS_feature_26;JS_feature_27;JS_feature_28;JS_feature_29;JS_feature_30;JS_feature_31;JS_feature_32;JS_feature_33;KL_feature_34;KL_feature_35;KL_feature_36;KL_feature_37;KL_feature_38;JS_feature_34;JS_feature_35;JS_feature_36;JS_feature_37;JS_feature_38
ecoli1;SYRFD_thr4;0.168;2.111;8.198;3.478;0.378;3.787;0.005;0.057;2.43;11.6;3.188;3.064;0.084;0.154;0.001;0.001;0.086;0.257;0.168;0.107;0.761;0.239;21;1.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kddcup-guess_passwd_vs_satan;SYRFD_thr4;0.544;0.912;21.742;14.626;0.035;2.251;20.781;18.916;0.006;0.011;0.0;5.702;0.001;0.038;0.62;0.592;0.0;0.0;0.0;0.19;0.671;0.329;741;0.0;0.0;0.0;23.681;5.561;0.0;0.0;0.0;0.0;0.621;0.614;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;19.591;0.295;2.037;0.101;2.492;0.238;23.372;22.752;0.011;24.173;22.992;0.211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.607;0.007;0.334;0.031;0.407;0.055;0.586;0.553;0.0;0.622;0.577;0.059;0.011;6.447;0.47;4.058;21.876;0.0;0.186;0.121;0.156;0.625
Migraine_onevsrest_0;SYRFD_thr4;0.128;3.944;6.558;31.64;16.583;5.249;0.721;1.136;1.136;0.232;0.049;2.004;0.497;0.314;0.119;0.019;0.019;0.051;0.001;0.075;0.855;0.145;210;5.325116328314172e+18;0.749;0.0;0.0;1.134;0.171;0.84;0.101;0.0;0.0;0.17;0.032;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_1;SYRFD_thr4;0.134;2.241;25.354;6.403;1.502;0.483;0.833;1.136;1.136;9.401;0.049;2.061;0.062;0.114;0.183;0.019;0.019;0.176;0.001;0.057;0.889;0.111;210;6.521908912666387e+18;0.044;0.0;0.0;18.041;4.815;0.84;0.011;0.0;0.0;0.419;0.084;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;0.056;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.013;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_2;SYRFD_thr4;0.09;3.123;20.97;12.982;8.818;0.114;0.737;1.136;1.136;1.149;0.049;1.412;0.211;0.032;0.051;0.019;0.019;0.04;0.001;0.045;0.911;0.089;210;1.044;0.048;0.0;0.0;0.717;0.048;0.202;0.011;0.0;0.0;0.064;0.013;0.06;0.196;0.18;0.321;0.101;0.321;0.066;0.155;14.161;;;;;;;;;;;;;;0.054;0.053;0.006;0.002;0.006;0.02;0.003;0.276;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_3;SYRFD_thr4;0.285;1.553;17.4;11.502;5.279;0.072;0.594;23.777;23.777;22.112;0.025;3.998;0.172;0.025;0.032;0.588;0.588;0.588;0.008;0.121;0.777;0.223;210;6.521908912666391e+18;0.034;0.0;0.0;5.703;0.254;0.84;0.009;0.0;0.0;0.363;0.072;0.014;0.149;0.028;0.321;0.101;0.321;0.378;0.155;0.046;;;;;;;;;;;;;;0.041;0.006;0.006;0.002;0.006;0.006;0.003;0.011;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_4;SYRFD_thr4;0.19;2.346;15.034;18.7;6.669;0.18;0.751;1.136;1.136;1.661;0.049;0.828;0.183;0.056;0.06;0.019;0.019;0.064;0.001;0.064;0.873;0.127;210;6.52190891266639e+18;0.001;0.0;0.0;0.235;1.728;0.84;0.0;0.0;0.0;0.065;0.057;0.014;1.342;0.312;0.401;0.098;0.422;0.161;0.157;0.102;;;;;;;;;;;;;;0.304;0.091;0.124;0.032;0.13;0.05;0.05;0.025;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_5;SYRFD_thr4;0.067;3.441;22.353;11.478;9.103;3.806;5.25;1.136;1.136;1.367;0.049;1.605;0.294;0.079;0.134;0.019;0.019;0.108;0.001;0.054;0.895;0.105;210;1.0;0.027;0.0;0.0;0.643;0.128;0.423;0.007;0.0;0.0;0.057;0.04;0.125;0.122;0.113;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.034;0.033;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
new-thyroid1;SYRFD_thr4;0.326;1.517;3.195;4.983;10.833;15.516;10.74;3.322;11.892;;;10.461;0.362;0.426;0.432;0.135;0.383;;;0.348;0.444;0.556;10;5.221732988726358e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newthyroid2;SYRFD_thr4;0.34;1.489;3.2;5.002;11.643;16.375;6.645;3.357;15.438;;;10.692;0.309;0.482;0.299;0.126;0.398;;;0.323;0.461;0.539;10;5.238523299996355e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_0;SYRFD_thr4;0.092;3.834;13.187;17.607;0.002;8.165;0.766;13.945;0.044;0.074;0.124;1.579;0.001;0.226;0.034;0.409;0.012;0.014;0.031;0.067;0.856;0.144;120;9.203690682575708e+18;0.127;0.355;0.046;0.248;0.134;0.232;0.038;0.094;0.006;0.053;0.04;0.055;0.083;0.7;0.215;;;;;;;;;;;;;;;;;;;0.023;0.013;0.019;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_1;SYRFD_thr4;0.112;3.332;12.124;18.357;0.001;4.749;0.445;12.229;0.197;0.336;0.141;1.194;0.0;0.183;0.06;0.365;0.052;0.092;0.024;0.065;0.858;0.142;120;9.203690682575708e+18;0.019;0.103;0.015;0.03;0.021;0.253;0.005;0.031;0.003;0.006;0.004;0.06;0.322;0.068;0.183;;;;;;;;;;;;;;;;;;;0.079;0.017;0.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_2;SYRFD_thr4;0.094;3.105;16.087;12.852;0.157;2.409;0.542;11.819;0.479;0.058;0.142;1.646;0.037;0.173;0.041;0.418;0.055;0.016;0.026;0.083;0.826;0.174;120;1.3017115509081465e+19;0.175;0.569;0.432;1.308;0.135;0.107;0.04;0.04;0.007;0.212;0.014;0.024;0.114;7.69;0.197;;;;;;;;;;;;;;;;;;;0.027;0.135;0.058;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_3;SYRFD_thr4;0.083;3.424;15.506;14.041;0.001;3.218;0.601;11.587;0.445;0.076;0.115;1.153;0.0;0.126;0.074;0.389;0.054;0.021;0.021;0.071;0.843;0.157;120;9.203670580201584e+18;0.375;0.082;0.032;0.93;0.086;0.118;0.091;0.019;0.005;0.138;0.012;0.03;0.227;0.284;0.273;;;;;;;;;;;;;;;;;;;0.056;0.068;0.038;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_4;SYRFD_thr4;0.072;3.429;16.827;12.378;0.036;7.566;0.317;10.587;0.74;0.442;0.081;1.416;0.009;0.24;0.047;0.294;0.062;0.04;0.017;0.057;0.865;0.135;120;9.203690682575712e+18;0.711;0.593;0.044;0.154;0.979;0.143;0.021;0.042;0.006;0.044;0.016;0.029;0.027;0.051;0.187;;;;;;;;;;;;;;;;;;;0.005;0.007;0.038;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_5;SYRFD_thr4;0.098;2.78;17.86;9.901;11.691;11.125;3.274;13.205;3.966;0.371;0.876;3.08;0.214;0.362;0.119;0.455;0.065;0.038;0.109;0.108;0.791;0.209;120;9.204490647960086e+18;0.445;0.717;0.032;0.088;0.979;1.518;0.094;0.05;0.005;0.015;0.016;0.112;0.123;0.729;0.141;;;;;;;;;;;;;;;;;;;0.015;0.02;0.042;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_6;SYRFD_thr4;0.218;1.972;18.353;3.935;2.444;5.187;3.966;0.262;16.28;7.733;1.273;3.126;0.212;0.141;0.065;0.033;0.335;0.14;0.055;0.099;0.817;0.183;91;0.153;0.018;0.146;0.979;1.235;1.488;1.714;0.003;0.02;0.016;0.064;0.088;0.123;1.041;;;;;;;;;;;;;;;;;;;;;0.089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
page-blocks-1-3_vs_4;SYRFD_thr4;0.278;1.677;6.48;4.486;19.536;9.849;13.11;8.569;15.66;14.02;18.197;14.134;0.633;0.28;0.508;0.227;0.37;0.511;0.622;0.45;0.394;0.606;21;1.3453464170855327e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pima;SYRFD_thr4;0.073;3.871;6.807;8.442;2.775;9.586;10.401;12.97;7.959;14.359;2.743;8.684;0.101;0.255;0.267;0.345;0.217;0.393;0.068;0.237;0.538;0.462;28;0.178;8.68;;;;;;0.251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transfusion;SYRFD_thr4;0.209;2.241;1.734;5.816;5.461;0.749;0.565;2.755;;;;2.382;0.199;0.062;0.062;0.084;;;;0.102;0.748;0.252;6;9.223372036854769e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vowel0;SYRFD_thr4;0.195;1.885;10.174;6.939;10.815;13.307;0.787;0.467;7.766;8.056;5.531;4.516;0.198;0.337;0.132;0.085;0.37;0.238;0.189;0.164;0.661;0.339;55;3.08807489999773e+19;0.439;0.683;1.311;0.514;;;0.019;0.034;0.12;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast1;SYRFD_thr4;0.047;3.854;9.85;4.999;1.654;3.045;3.996;1.68;0.011;0.196;1.832;1.721;0.113;0.115;0.136;0.105;0.003;0.004;0.081;0.081;0.805;0.195;28;0.86;1.353;;;;;;0.094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast3;SYRFD_thr4;0.136;2.221;9.953;3.316;3.374;1.322;13.522;2.49;0.198;0.196;1.841;3.001;0.144;0.046;0.383;0.106;0.005;0.004;0.088;0.106;0.772;0.228;28;0.976;1.066;;;;;;0.075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abalone9-18;SYRFD_thr8;0.112;2.121;6.588;5.069;0.012;1.912;1.871;6.825;1.406;1.212;3.458;2.385;0.003;0.087;0.098;0.219;0.073;0.092;0.204;0.111;0.768;0.232;21;2.811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cleveland-0_vs_4;SYRFD_thr8;0.308;1.398;7.854;10.12;6.672;0.007;2.502;2.985;10.164;0.053;1.931;4.147;0.194;0.002;0.184;0.228;0.288;0.011;0.242;0.201;0.62;0.38;78;1.2399275513005263e+18;9.471;0.012;2.007;15.205;1.314;1.582;0.354;0.003;0.289;0.317;0.228;0.276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dermatology-6;SYRFD_thr8;0.15;2.117;39.695;13.779;0.336;3.674;2.922;4.48;8.486;3.988;21.708;4.717;0.03;0.09;0.092;0.122;0.16;0.071;0.546;0.144;0.741;0.259;561;0.62;3.841;2.374;0.989;0.241;4.03;2.475;0.069;0.316;0.04;0.066;0.072;0.043;3.583;2.845;0.357;0.855;0.934;2.066;5.48;8.465;6.323;1.828;4.615;3.408;5.506;4.158;0.324;4.144;2.238;22.584;0.353;4.396;16.368;0.064;0.051;0.085;0.089;0.155;0.09;0.115;0.168;0.12;0.032;0.084;0.062;0.1;0.074;0.087;0.074;0.448;0.581;0.081;0.102;0.515;;;;;;;;;;
iris0;SYRFD_thr8;0.598;0.602;1.789;0.864;12.287;9.747;13.957;14.622;;;;12.653;0.318;0.206;0.321;0.326;;;;0.293;0.608;0.392;6;0.619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli-0_vs_1;SYRFD_thr8;0.33;1.303;2.472;6.262;0.654;10.18;0.089;0.0;3.037;9.518;4.278;3.965;0.103;0.261;0.002;0.0;0.105;0.332;0.106;0.13;0.714;0.286;21;2.103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli1;SYRFD_thr8;0.172;2.077;8.31;3.28;1.465;5.17;0.026;0.057;2.372;7.729;0.741;2.508;0.118;0.169;0.006;0.001;0.091;0.231;0.133;0.107;0.76;0.24;21;1.763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kddcup-guess_passwd_vs_satan;SYRFD_thr8;0.532;0.971;20.818;15.987;0.035;2.251;20.781;18.813;0.006;0.011;0.0;5.745;0.001;0.038;0.62;0.589;0.0;0.0;0.0;0.188;0.674;0.326;741;0.0;0.0;0.0;23.685;3.182;0.02;0.0;0.0;0.0;0.622;0.552;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;19.591;0.295;2.431;0.104;2.277;0.162;23.372;22.752;0.011;24.173;22.992;0.263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.607;0.007;0.338;0.032;0.394;0.043;0.586;0.553;0.0;0.622;0.577;0.061;0.011;6.65;0.5;3.162;26.505;0.0;0.189;0.119;0.151;0.628
Migraine_onevsrest_0;SYRFD_thr8;0.128;3.949;6.492;31.718;16.576;13.426;0.91;1.136;1.136;0.534;0.049;2.729;0.495;0.343;0.162;0.019;0.019;0.097;0.001;0.083;0.842;0.158;210;5.325116328314172e+18;7.216;0.0;0.0;1.16;0.242;0.84;0.125;0.0;0.0;0.183;0.041;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_1;SYRFD_thr8;0.134;2.145;25.945;5.1;1.362;0.372;1.005;1.136;1.136;9.401;0.049;2.06;0.034;0.09;0.204;0.019;0.019;0.176;0.001;0.056;0.892;0.108;210;6.521908912666387e+18;0.021;0.0;0.0;18.041;4.815;0.84;0.005;0.0;0.0;0.419;0.084;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;0.14;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.032;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_2;SYRFD_thr8;0.078;3.374;21.302;13.283;8.845;0.106;0.715;1.136;1.136;1.131;0.049;1.407;0.22;0.028;0.048;0.019;0.019;0.034;0.001;0.043;0.914;0.086;210;1.0;0.032;0.0;0.0;0.722;0.025;0.168;0.008;0.0;0.0;0.065;0.006;0.05;0.209;0.175;0.321;0.101;0.321;0.046;0.155;14.161;;;;;;;;;;;;;;0.058;0.051;0.006;0.002;0.006;0.014;0.003;0.276;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_3;SYRFD_thr8;0.279;1.59;17.18;12.124;5.148;0.071;0.576;23.777;23.777;22.112;0.017;3.995;0.141;0.022;0.028;0.588;0.588;0.588;0.005;0.12;0.779;0.221;210;1.581;0.046;0.0;0.0;5.773;0.291;0.84;0.012;0.0;0.0;0.369;0.081;0.014;0.145;0.006;0.321;0.101;0.321;0.378;0.155;0.043;;;;;;;;;;;;;;0.04;0.001;0.006;0.002;0.006;0.006;0.003;0.011;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_4;SYRFD_thr8;0.181;2.448;15.071;19.01;4.375;0.156;0.801;1.136;1.136;1.677;0.049;0.719;0.136;0.046;0.067;0.019;0.019;0.067;0.001;0.06;0.879;0.121;210;2.0;0.0;0.0;0.0;0.206;1.749;0.84;0.0;0.0;0.0;0.051;0.062;0.014;1.419;0.284;0.397;0.085;0.384;0.131;0.166;0.109;;;;;;;;;;;;;;0.316;0.083;0.123;0.028;0.119;0.041;0.053;0.027;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_5;SYRFD_thr8;0.064;3.474;22.626;11.589;9.006;3.813;5.238;1.136;1.136;1.317;0.049;1.604;0.27;0.082;0.131;0.019;0.019;0.091;0.001;0.053;0.896;0.104;210;1.0;0.017;0.0;0.0;0.713;0.15;0.371;0.004;0.0;0.0;0.074;0.046;0.11;0.172;0.152;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.048;0.044;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
new-thyroid1;SYRFD_thr8;0.372;1.293;3.281;4.259;7.61;13.018;10.884;3.234;11.892;;;9.327;0.294;0.425;0.462;0.108;0.383;;;0.334;0.47;0.53;10;5.221732988726358e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newthyroid2;SYRFD_thr8;0.365;1.317;3.318;4.557;8.564;13.824;10.294;6.79;11.776;;;10.25;0.24;0.439;0.299;0.157;0.379;;;0.303;0.489;0.511;10;5.238523299996355e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_0;SYRFD_thr8;0.078;4.346;13.143;18.171;0.003;5.535;0.773;13.953;0.054;0.024;0.064;1.368;0.001;0.209;0.037;0.412;0.014;0.005;0.016;0.063;0.866;0.134;120;2.459;0.124;0.334;0.046;0.222;0.132;0.236;0.037;0.085;0.006;0.042;0.039;0.054;0.084;0.074;0.224;;;;;;;;;;;;;;;;;;;0.022;0.009;0.022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_1;SYRFD_thr8;0.1;3.667;11.948;19.074;0.002;3.777;0.667;9.937;0.218;0.273;0.103;0.999;0.001;0.152;0.065;0.339;0.058;0.075;0.019;0.06;0.87;0.13;120;9.203690682575708e+18;0.012;0.109;0.004;0.029;0.016;0.263;0.003;0.03;0.001;0.006;0.003;0.062;0.325;0.064;0.176;;;;;;;;;;;;;;;;;;;0.08;0.016;0.052;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_2;SYRFD_thr8;0.074;3.598;15.918;13.774;0.158;1.079;0.464;10.414;0.295;0.061;0.112;0.958;0.037;0.116;0.039;0.36;0.044;0.017;0.022;0.069;0.854;0.146;120;9.204490647960086e+18;0.177;0.25;0.032;0.919;0.087;0.088;0.04;0.037;0.005;0.174;0.012;0.019;0.092;0.947;0.156;;;;;;;;;;;;;;;;;;;0.022;0.114;0.044;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_3;SYRFD_thr8;0.065;4.031;15.396;14.867;0.001;1.026;0.614;11.341;0.329;0.093;0.108;0.965;0.0;0.07;0.067;0.34;0.047;0.026;0.02;0.06;0.868;0.132;120;9.20367058020158e+18;0.343;0.076;0.019;0.585;0.073;0.114;0.082;0.016;0.003;0.104;0.011;0.028;0.205;0.262;0.248;;;;;;;;;;;;;;;;;;;0.051;0.063;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_4;SYRFD_thr8;0.052;4.016;16.793;13.07;0.022;2.715;0.62;8.432;0.549;0.316;0.057;0.97;0.006;0.151;0.051;0.272;0.058;0.036;0.013;0.048;0.888;0.112;120;9.203690682575708e+18;0.707;0.589;0.044;0.118;0.979;0.106;0.019;0.041;0.006;0.034;0.016;0.022;0.017;0.082;0.164;;;;;;;;;;;;;;;;;;;0.004;0.012;0.032;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_5;SYRFD_thr8;0.085;3.042;17.76;10.608;11.691;6.213;3.324;12.654;3.966;0.246;0.751;2.765;0.214;0.322;0.124;0.401;0.065;0.032;0.105;0.1;0.807;0.193;120;9.204490647960083e+18;1.007;2.449;0.032;0.091;0.134;1.288;0.092;0.051;0.005;0.016;0.014;0.099;0.13;0.091;0.168;;;;;;;;;;;;;;;;;;;0.017;0.016;0.033;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_6;SYRFD_thr8;0.215;1.955;19.912;1.789;2.444;5.168;3.966;0.287;16.28;7.733;1.195;3.652;0.212;0.134;0.065;0.035;0.335;0.14;0.053;0.1;0.815;0.185;91;0.162;0.023;0.197;0.979;3.919;1.54;1.782;0.004;0.024;0.016;0.067;0.093;0.125;5.62;;;;;;;;;;;;;;;;;;;;;0.098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
page-blocks-1-3_vs_4;SYRFD_thr8;0.273;1.685;6.579;4.409;19.536;9.849;13.11;8.569;15.613;14.02;18.197;14.128;0.633;0.28;0.508;0.227;0.355;0.511;0.622;0.448;0.397;0.603;21;1.3453464170855324e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pima;SYRFD_thr8;0.071;3.785;6.997;8.186;0.308;5.815;1.805;4.353;6.8;2.774;2.754;3.335;0.058;0.185;0.07;0.192;0.19;0.099;0.069;0.125;0.699;0.301;28;0.376;2.069;;;;;;0.141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transfusion;SYRFD_thr8;0.178;2.418;1.757;5.972;6.665;0.969;0.784;2.99;;;;2.852;0.176;0.107;0.107;0.095;;;;0.121;0.717;0.283;6;9.223372036854768e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vowel0;SYRFD_thr8;0.166;2.107;10.042;7.87;0.71;6.782;0.293;0.305;7.861;7.935;7.179;3.255;0.124;0.195;0.063;0.074;0.375;0.24;0.195;0.14;0.696;0.304;55;6.247;0.622;0.757;2.155;1.204;;;0.023;0.039;0.128;0.087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast1;SYRFD_thr8;0.048;3.812;9.884;4.942;1.798;2.055;3.695;1.773;0.199;0.196;1.261;1.549;0.101;0.108;0.146;0.106;0.006;0.004;0.075;0.08;0.805;0.195;28;0.885;1.417;;;;;;0.095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast3;SYRFD_thr8;0.136;2.217;9.963;3.299;3.358;1.181;13.468;2.171;0.198;0.196;1.789;2.93;0.139;0.048;0.384;0.101;0.005;0.004;0.082;0.104;0.775;0.225;28;0.976;1.076;;;;;;0.067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
