dataset;metodo;strategia;llm_model;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
iris0;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.517 +/- 0.000;0.748 +/- 0.000;1.614 +/- 0.000;0.031 +/- 0.000;0.008 +/- 0.000;0.961 +/- 0.000;0.097 +/- 0.000;0.015 +/- 0.000;0.172 +/- 0.000;0.009 +/- 0.000;0.88 +/- 0.000;1.0 +/- 0.000;1.02 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.17 +/- 0.000;0.094 +/- 0.000;0.147 +/- 0.000;1.0 +/- 0.000;0.17 +/- 0.000;0.035 +/- 0.000;0.249 +/- 0.000;0.196 +/- 0.000;1.827 +/- 0.000;1.826 +/- 0.000;0.999 +/- 0.000;1.0 +/- 0.000
ecoli-0_vs_1;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.347 +/- 0.000;1.29 +/- 0.000;6.617 +/- 0.000;0.019 +/- 0.000;0.005 +/- 0.000;0.98 +/- 0.000;0.054 +/- 0.000;0.009 +/- 0.000;0.119 +/- 0.000;0.007 +/- 0.000;0.986 +/- 0.000;1.0 +/- 0.000;1.06 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.097 +/- 0.000;0.084 +/- 0.000;0.143 +/- 0.000;0.984 +/- 0.000;0.097 +/- 0.000;0.127 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.848 +/- 0.000;1.0 +/- 0.000
ecoli1;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.182 +/- 0.000;1.998 +/- 0.000;3.732 +/- 0.000;0.033 +/- 0.000;0.009 +/- 0.000;0.972 +/- 0.000;0.08 +/- 0.000;0.016 +/- 0.000;0.16 +/- 0.000;0.014 +/- 0.000;0.955 +/- 0.000;1.0 +/- 0.000;1.019 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.154 +/- 0.000;0.128 +/- 0.000;0.195 +/- 0.000;0.914 +/- 0.000;0.154 +/- 0.000;0.21 +/- 0.000;0.963 +/- 0.000;28.586 +/- 0.000;1.682 +/- 0.000;1.689 +/- 0.000;0.922 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_0;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.114 +/- 0.000;4.295 +/- 0.000;32.229 +/- 0.000;0.005 +/- 0.000;0.001 +/- 0.000;0.997 +/- 0.000;0.027 +/- 0.000;0.003 +/- 0.000;0.066 +/- 0.000;0.007 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.193 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.065 +/- 0.000;0.069 +/- 0.000;0.149 +/- 0.000;0.492 +/- 0.000;0.065 +/- 0.000;0.149 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.801 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_1;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.081 +/- 0.000;2.303 +/- 0.000;4.503 +/- 0.000;0.027 +/- 0.000;0.007 +/- 0.000;0.986 +/- 0.000;0.064 +/- 0.000;0.013 +/- 0.000;0.146 +/- 0.000;0.023 +/- 0.000;0.998 +/- 0.000;1.0 +/- 0.000;1.126 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.142 +/- 0.000;0.165 +/- 0.000;0.354 +/- 0.000;0.492 +/- 0.000;0.142 +/- 0.000;0.26 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.712 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_2;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.071 +/- 0.000;3.13 +/- 0.000;10.235 +/- 0.000;0.032 +/- 0.000;0.008 +/- 0.000;0.983 +/- 0.000;0.062 +/- 0.000;0.015 +/- 0.000;0.164 +/- 0.000;0.029 +/- 0.000;0.997 +/- 0.000;1.0 +/- 0.000;1.196 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.143 +/- 0.000;0.15 +/- 0.000;0.33 +/- 0.000;0.492 +/- 0.000;0.143 +/- 0.000;0.392 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.816 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_3;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.259 +/- 0.000;1.56 +/- 0.000;10.763 +/- 0.000;0.09 +/- 0.000;0.025 +/- 0.000;0.952 +/- 0.000;0.112 +/- 0.000;0.039 +/- 0.000;0.374 +/- 0.000;0.046 +/- 0.000;0.968 +/- 0.000;1.0 +/- 0.000;1.215 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.372 +/- 0.000;0.347 +/- 0.000;0.866 +/- 0.000;0.492 +/- 0.000;0.372 +/- 0.000;0.798 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.116 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_4;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.203 +/- 0.000;2.405 +/- 0.000;18.808 +/- 0.000;0.068 +/- 0.000;0.019 +/- 0.000;0.961 +/- 0.000;0.1 +/- 0.000;0.03 +/- 0.000;0.458 +/- 0.000;0.044 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;0.973 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.449 +/- 0.000;0.304 +/- 0.000;1.116 +/- 0.000;0.492 +/- 0.000;0.449 +/- 0.000;2.575 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.203 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_5;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.044 +/- 0.000;3.177 +/- 0.000;9.237 +/- 0.000;0.036 +/- 0.000;0.009 +/- 0.000;0.981 +/- 0.000;0.068 +/- 0.000;0.017 +/- 0.000;0.162 +/- 0.000;0.026 +/- 0.000;0.993 +/- 0.000;1.0 +/- 0.000;1.017 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.158 +/- 0.000;0.147 +/- 0.000;0.37 +/- 0.000;0.492 +/- 0.000;0.158 +/- 0.000;0.349 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.796 +/- 0.000;1.0 +/- 0.000
new-thyroid1;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.441 +/- 0.000;0.912 +/- 0.000;2.183 +/- 0.000;0.188 +/- 0.000;0.055 +/- 0.000;0.901 +/- 0.000;0.258 +/- 0.000;0.092 +/- 0.000;0.586 +/- 0.000;0.028 +/- 0.000;0.966 +/- 0.000;1.0 +/- 0.000;1.136 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.577 +/- 0.000;0.334 +/- 0.000;0.508 +/- 0.000;1.0 +/- 0.000;0.577 +/- 0.000;0.818 +/- 0.000;1.147 +/- 0.000;10.093 +/- 0.000;2.399 +/- 0.000;2.75 +/- 0.000;1.146 +/- 0.000;1.0 +/- 0.000
newthyroid2;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.391 +/- 0.000;1.238 +/- 0.000;4.546 +/- 0.000;0.205 +/- 0.000;0.061 +/- 0.000;0.892 +/- 0.000;0.272 +/- 0.000;0.088 +/- 0.000;0.986 +/- 0.000;0.032 +/- 0.000;0.886 +/- 0.000;1.0 +/- 0.000;1.022 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.96 +/- 0.000;0.298 +/- 0.000;1.056 +/- 0.000;1.0 +/- 0.000;0.96 +/- 0.000;6.764 +/- 0.000;0.764 +/- 0.000;7.607 +/- 0.000;2.017 +/- 0.000;2.421 +/- 0.000;1.253 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_0;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.042 +/- 0.000;4.233 +/- 0.000;12.337 +/- 0.000;0.074 +/- 0.000;0.023 +/- 0.000;0.958 +/- 0.000;0.08 +/- 0.000;0.027 +/- 0.000;0.149 +/- 0.000;0.023 +/- 0.000;0.865 +/- 0.000;1.0 +/- 0.000;0.864 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.124 +/- 0.000;0.103 +/- 0.000;0.211 +/- 0.000;0.543 +/- 0.000;0.124 +/- 0.000;0.222 +/- 0.000;0.524 +/- 0.000;4.11 +/- 0.000;1.122 +/- 0.000;1.312 +/- 0.000;1.246 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_1;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.078 +/- 0.000;3.704 +/- 0.000;16.094 +/- 0.000;0.054 +/- 0.000;0.015 +/- 0.000;0.968 +/- 0.000;0.085 +/- 0.000;0.022 +/- 0.000;0.182 +/- 0.000;0.02 +/- 0.000;0.948 +/- 0.000;1.0 +/- 0.000;0.931 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.171 +/- 0.000;0.097 +/- 0.000;0.304 +/- 0.000;0.543 +/- 0.000;0.171 +/- 0.000;0.235 +/- 0.000;0.417 +/- 0.000;3.095 +/- 0.000;1.12 +/- 0.000;1.217 +/- 0.000;1.164 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_2;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.019 +/- 0.000;5.338 +/- 0.000;11.357 +/- 0.000;0.087 +/- 0.000;0.027 +/- 0.000;0.951 +/- 0.000;0.081 +/- 0.000;0.033 +/- 0.000;0.166 +/- 0.000;0.021 +/- 0.000;0.876 +/- 0.000;1.0 +/- 0.000;0.871 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.138 +/- 0.000;0.141 +/- 0.000;0.221 +/- 0.000;0.543 +/- 0.000;0.138 +/- 0.000;0.246 +/- 0.000;0.481 +/- 0.000;4.24 +/- 0.000;1.123 +/- 0.000;1.316 +/- 0.000;1.219 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_3;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.015 +/- 0.000;5.424 +/- 0.000;9.7 +/- 0.000;0.054 +/- 0.000;0.015 +/- 0.000;0.968 +/- 0.000;0.085 +/- 0.000;0.023 +/- 0.000;0.163 +/- 0.000;0.018 +/- 0.000;0.923 +/- 0.000;1.0 +/- 0.000;0.91 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.13 +/- 0.000;0.128 +/- 0.000;0.234 +/- 0.000;0.543 +/- 0.000;0.13 +/- 0.000;0.24 +/- 0.000;0.544 +/- 0.000;4.412 +/- 0.000;1.138 +/- 0.000;1.145 +/- 0.000;0.98 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_4;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.016 +/- 0.000;4.997 +/- 0.000;10.022 +/- 0.000;0.042 +/- 0.000;0.012 +/- 0.000;0.975 +/- 0.000;0.075 +/- 0.000;0.018 +/- 0.000;0.144 +/- 0.000;0.013 +/- 0.000;0.917 +/- 0.000;1.0 +/- 0.000;0.927 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.12 +/- 0.000;0.105 +/- 0.000;0.262 +/- 0.000;0.543 +/- 0.000;0.12 +/- 0.000;0.217 +/- 0.000;0.521 +/- 0.000;4.175 +/- 0.000;1.151 +/- 0.000;1.167 +/- 0.000;0.986 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_5;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.03 +/- 0.000;3.714 +/- 0.000;8.234 +/- 0.000;0.062 +/- 0.000;0.018 +/- 0.000;0.964 +/- 0.000;0.085 +/- 0.000;0.027 +/- 0.000;0.166 +/- 0.000;0.016 +/- 0.000;0.806 +/- 0.000;1.0 +/- 0.000;0.812 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.12 +/- 0.000;0.118 +/- 0.000;0.238 +/- 0.000;0.543 +/- 0.000;0.12 +/- 0.000;0.253 +/- 0.000;0.554 +/- 0.000;4.559 +/- 0.000;1.116 +/- 0.000;1.146 +/- 0.000;0.993 +/- 0.000;1.0 +/- 0.000
Obesity_onevsrest_6;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.16 +/- 0.000;1.99 +/- 0.000;2.041 +/- 0.000;0.052 +/- 0.000;0.013 +/- 0.000;0.974 +/- 0.000;0.113 +/- 0.000;0.023 +/- 0.000;0.227 +/- 0.000;0.021 +/- 0.000;0.88 +/- 0.000;1.0 +/- 0.000;1.968 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.213 +/- 0.000;0.184 +/- 0.000;0.409 +/- 0.000;0.533 +/- 0.000;0.213 +/- 0.000;0.276 +/- 0.000;0.833 +/- 0.000;5.43 +/- 0.000;0.842 +/- 0.000;0.732 +/- 0.000;0.814 +/- 0.000;1.0 +/- 0.000
page-blocks-1-3_vs_4;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.241 +/- 0.000;1.694 +/- 0.000;8.937 +/- 0.000;0.262 +/- 0.000;0.077 +/- 0.000;0.855 +/- 0.000;0.28 +/- 0.000;0.075 +/- 0.000;0.752 +/- 0.000;0.034 +/- 0.000;0.753 +/- 0.000;1.0 +/- 0.000;0.769 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.73 +/- 0.000;0.249 +/- 0.000;0.794 +/- 0.000;0.968 +/- 0.000;0.73 +/- 0.000;3.255 +/- 0.000;1.636 +/- 0.000;12.784 +/- 0.000;1.723 +/- 0.000;2.749 +/- 0.000;1.805 +/- 0.000;1.0 +/- 0.000
pima;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.116 +/- 0.000;2.93 +/- 0.000;9.462 +/- 0.000;0.062 +/- 0.000;0.017 +/- 0.000;0.954 +/- 0.000;0.123 +/- 0.000;0.023 +/- 0.000;0.252 +/- 0.000;0.017 +/- 0.000;0.978 +/- 0.000;1.0 +/- 0.000;1.03 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.228 +/- 0.000;0.156 +/- 0.000;0.352 +/- 0.000;0.812 +/- 0.000;0.228 +/- 0.000;2.44 +/- 0.000;2.634 +/- 0.000;56.459 +/- 0.000;2.305 +/- 0.000;2.354 +/- 0.000;1.023 +/- 0.000;1.0 +/- 0.000
transfusion;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.13 +/- 0.000;2.303 +/- 0.000;3.262 +/- 0.000;0.124 +/- 0.000;0.034 +/- 0.000;0.906 +/- 0.000;0.18 +/- 0.000;0.057 +/- 0.000;0.281 +/- 0.000;0.021 +/- 0.000;0.828 +/- 0.000;1.0 +/- 0.000;1.384 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.257 +/- 0.000;0.188 +/- 0.000;0.306 +/- 0.000;1.0 +/- 0.000;0.257 +/- 0.000;0.257 +/- 0.000;0.755 +/- 0.000;4.533 +/- 0.000;2.401 +/- 0.000;2.561 +/- 0.000;1.074 +/- 0.000;1.0 +/- 0.000
vowel0;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.061 +/- 0.000;3.966 +/- 0.000;9.313 +/- 0.000;0.133 +/- 0.000;0.039 +/- 0.000;0.912 +/- 0.000;0.17 +/- 0.000;0.056 +/- 0.000;0.274 +/- 0.000;0.025 +/- 0.000;0.558 +/- 0.000;1.0 +/- 0.000;0.657 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.203 +/- 0.000;0.154 +/- 0.000;0.351 +/- 0.000;0.816 +/- 0.000;0.203 +/- 0.000;0.229 +/- 0.000;0.243 +/- 0.000;0.326 +/- 0.000;2.438 +/- 0.000;2.616 +/- 0.000;1.25 +/- 0.000;1.0 +/- 0.000
yeast1;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.07 +/- 0.000;4.421 +/- 0.000;9.331 +/- 0.000;0.1 +/- 0.000;0.032 +/- 0.000;0.935 +/- 0.000;0.157 +/- 0.000;0.052 +/- 0.000;0.363 +/- 0.000;0.028 +/- 0.000;0.832 +/- 0.000;1.0 +/- 0.000;0.889 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.35 +/- 0.000;0.242 +/- 0.000;0.501 +/- 0.000;0.754 +/- 0.000;0.35 +/- 0.000;0.735 +/- 0.000;1.904 +/- 0.000;18.298 +/- 0.000;2.157 +/- 0.000;2.614 +/- 0.000;6.001 +/- 0.000;1.0 +/- 0.000
yeast3;gemma3_12b__hierarchical;hierarchical;gemma3_12b;0.152 +/- 0.000;2.092 +/- 0.000;4.666 +/- 0.000;0.124 +/- 0.000;0.036 +/- 0.000;0.923 +/- 0.000;0.206 +/- 0.000;0.064 +/- 0.000;0.34 +/- 0.000;0.03 +/- 0.000;0.812 +/- 0.000;1.0 +/- 0.000;0.823 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.301 +/- 0.000;0.238 +/- 0.000;0.393 +/- 0.000;0.754 +/- 0.000;0.301 +/- 0.000;0.327 +/- 0.000;1.48 +/- 0.000;14.7 +/- 0.000;2.303 +/- 0.000;2.72 +/- 0.000;7.957 +/- 0.000;1.0 +/- 0.000
abalone9-18;gemma3_12b__react;react;gemma3_12b;0.02 +/- 0.000;7.137 +/- 0.000;6.128 +/- 0.000;0.057 +/- 0.000;0.016 +/- 0.000;0.936 +/- 0.000;0.096 +/- 0.000;0.025 +/- 0.000;0.157 +/- 0.000;0.02 +/- 0.000;0.768 +/- 0.000;1.0 +/- 0.000;0.744 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.113 +/- 0.000;0.099 +/- 0.000;0.182 +/- 0.000;0.983 +/- 0.000;0.113 +/- 0.000;0.153 +/- 0.000;0.263 +/- 0.000;0.591 +/- 0.000;2.569 +/- 0.000;2.607 +/- 0.000;1.064 +/- 0.000;1.0 +/- 0.000
cleveland-0_vs_4;gemma3_12b__react;react;gemma3_12b;0.051 +/- 0.000;3.836 +/- 0.000;10.881 +/- 0.000;0.055 +/- 0.000;0.015 +/- 0.000;0.959 +/- 0.000;0.099 +/- 0.000;0.024 +/- 0.000;0.188 +/- 0.000;0.024 +/- 0.000;0.988 +/- 0.000;1.0 +/- 0.000;1.144 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.164 +/- 0.000;0.112 +/- 0.000;0.225 +/- 0.000;0.591 +/- 0.000;0.164 +/- 0.000;0.197 +/- 0.000;0.481 +/- 0.000;1.774 +/- 0.000;1.288 +/- 0.000;1.346 +/- 0.000;1.043 +/- 0.000;1.0 +/- 0.000
dermatology-6;gemma3_12b__react;react;gemma3_12b;0.079 +/- 0.000;2.672 +/- 0.000;16.58 +/- 0.000;0.207 +/- 0.000;0.065 +/- 0.000;0.894 +/- 0.000;0.164 +/- 0.000;0.076 +/- 0.000;0.566 +/- 0.000;0.045 +/- 0.000;0.678 +/- 0.000;1.0 +/- 0.000;0.763 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.509 +/- 0.000;0.303 +/- 0.000;1.251 +/- 0.000;0.631 +/- 0.000;0.509 +/- 0.000;7.856 +/- 0.000;0.826 +/- 0.000;3.994 +/- 0.000;0.852 +/- 0.000;1.214 +/- 0.000;258485.111 +/- 0.000;1.0 +/- 0.000
iris0;gemma3_12b__react;react;gemma3_12b;0.552 +/- 0.000;0.68 +/- 0.000;1.215 +/- 0.000;0.053 +/- 0.000;0.014 +/- 0.000;0.956 +/- 0.000;0.124 +/- 0.000;0.026 +/- 0.000;0.205 +/- 0.000;0.004 +/- 0.000;0.875 +/- 0.000;1.0 +/- 0.000;0.999 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.201 +/- 0.000;0.114 +/- 0.000;0.138 +/- 0.000;1.0 +/- 0.000;0.201 +/- 0.000;0.051 +/- 0.000;0.326 +/- 0.000;0.144 +/- 0.000;1.839 +/- 0.000;1.889 +/- 0.000;1.036 +/- 0.000;1.0 +/- 0.000
ecoli-0_vs_1;gemma3_12b__react;react;gemma3_12b;0.355 +/- 0.000;1.262 +/- 0.000;6.548 +/- 0.000;0.02 +/- 0.000;0.006 +/- 0.000;0.979 +/- 0.000;0.06 +/- 0.000;0.009 +/- 0.000;0.121 +/- 0.000;0.006 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.096 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.109 +/- 0.000;0.092 +/- 0.000;0.156 +/- 0.000;0.984 +/- 0.000;0.109 +/- 0.000;0.147 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.849 +/- 0.000;1.0 +/- 0.000
ecoli1;gemma3_12b__react;react;gemma3_12b;0.184 +/- 0.000;1.942 +/- 0.000;3.45 +/- 0.000;0.034 +/- 0.000;0.009 +/- 0.000;0.974 +/- 0.000;0.082 +/- 0.000;0.016 +/- 0.000;0.16 +/- 0.000;0.012 +/- 0.000;0.979 +/- 0.000;1.0 +/- 0.000;1.052 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.146 +/- 0.000;0.127 +/- 0.000;0.215 +/- 0.000;0.914 +/- 0.000;0.146 +/- 0.000;0.206 +/- 0.000;1.019 +/- 0.000;28.618 +/- 0.000;1.69 +/- 0.000;1.683 +/- 0.000;0.916 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_0;gemma3_12b__react;react;gemma3_12b;0.109 +/- 0.000;4.471 +/- 0.000;32.304 +/- 0.000;0.005 +/- 0.000;0.001 +/- 0.000;0.997 +/- 0.000;0.027 +/- 0.000;0.003 +/- 0.000;0.065 +/- 0.000;0.005 +/- 0.000;0.998 +/- 0.000;1.0 +/- 0.000;1.182 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.061 +/- 0.000;0.054 +/- 0.000;0.136 +/- 0.000;0.492 +/- 0.000;0.061 +/- 0.000;0.147 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.802 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_1;gemma3_12b__react;react;gemma3_12b;0.057 +/- 0.000;2.57 +/- 0.000;4.988 +/- 0.000;0.026 +/- 0.000;0.007 +/- 0.000;0.986 +/- 0.000;0.054 +/- 0.000;0.012 +/- 0.000;0.124 +/- 0.000;0.02 +/- 0.000;0.998 +/- 0.000;1.0 +/- 0.000;1.166 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.12 +/- 0.000;0.143 +/- 0.000;0.289 +/- 0.000;0.492 +/- 0.000;0.12 +/- 0.000;0.254 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.731 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_2;gemma3_12b__react;react;gemma3_12b;0.076 +/- 0.000;3.082 +/- 0.000;10.282 +/- 0.000;0.032 +/- 0.000;0.008 +/- 0.000;0.983 +/- 0.000;0.064 +/- 0.000;0.015 +/- 0.000;0.167 +/- 0.000;0.029 +/- 0.000;0.996 +/- 0.000;1.0 +/- 0.000;1.19 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.148 +/- 0.000;0.152 +/- 0.000;0.345 +/- 0.000;0.492 +/- 0.000;0.148 +/- 0.000;0.417 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.827 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_3;gemma3_12b__react;react;gemma3_12b;0.257 +/- 0.000;1.609 +/- 0.000;11.796 +/- 0.000;0.091 +/- 0.000;0.025 +/- 0.000;0.952 +/- 0.000;0.112 +/- 0.000;0.039 +/- 0.000;0.39 +/- 0.000;0.043 +/- 0.000;0.975 +/- 0.000;1.0 +/- 0.000;1.176 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.385 +/- 0.000;0.325 +/- 0.000;0.921 +/- 0.000;0.492 +/- 0.000;0.385 +/- 0.000;1.103 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.336 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_4;gemma3_12b__react;react;gemma3_12b;0.212 +/- 0.000;2.366 +/- 0.000;18.751 +/- 0.000;0.072 +/- 0.000;0.02 +/- 0.000;0.959 +/- 0.000;0.102 +/- 0.000;0.031 +/- 0.000;0.466 +/- 0.000;0.046 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;0.959 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.457 +/- 0.000;0.311 +/- 0.000;1.147 +/- 0.000;0.492 +/- 0.000;0.457 +/- 0.000;2.602 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.219 +/- 0.000;1.0 +/- 0.000
Migraine_onevsrest_5;gemma3_12b__react;react;gemma3_12b;0.03 +/- 0.000;3.745 +/- 0.000;11.22 +/- 0.000;0.024 +/- 0.000;0.006 +/- 0.000;0.988 +/- 0.000;0.052 +/- 0.000;0.013 +/- 0.000;0.144 +/- 0.000;0.024 +/- 0.000;0.926 +/- 0.000;1.0 +/- 0.000;1.001 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.139 +/- 0.000;0.128 +/- 0.000;0.36 +/- 0.000;0.492 +/- 0.000;0.139 +/- 0.000;0.399 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.83 +/- 0.000;1.0 +/- 0.000
new-thyroid1;gemma3_12b__react;react;gemma3_12b;0.455 +/- 0.000;0.868 +/- 0.000;1.903 +/- 0.000;0.212 +/- 0.000;0.061 +/- 0.000;0.882 +/- 0.000;0.259 +/- 0.000;0.094 +/- 0.000;0.573 +/- 0.000;0.028 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.222 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.565 +/- 0.000;0.344 +/- 0.000;0.519 +/- 0.000;1.0 +/- 0.000;0.565 +/- 0.000;0.764 +/- 0.000;1.329 +/- 0.000;10.957 +/- 0.000;2.453 +/- 0.000;2.709 +/- 0.000;1.107 +/- 0.000;1.0 +/- 0.000
newthyroid2;gemma3_12b__react;react;gemma3_12b;0.484 +/- 0.000;0.836 +/- 0.000;1.95 +/- 0.000;0.244 +/- 0.000;0.071 +/- 0.000;0.881 +/- 0.000;0.281 +/- 0.000;0.106 +/- 0.000;0.594 +/- 0.000;0.034 +/- 0.000;1.0 +/- 0.000;1.0 +/- 0.000;1.104 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.585 +/- 0.000;0.355 +/- 0.000;0.526 +/- 0.000;1.0 +/- 0.000;0.585 +/- 0.000;0.745 +/- 0.000;1.209 +/- 0.000;10.486 +/- 0.000;2.438 +/- 0.000;2.612 +/- 0.000;1.074 +/- 0.000;1.0 +/- 0.000
